run,discarded,section,pattern,n,nops,param_set,label,segment_size,shortcuts_per_junction,max_skip_level,level_probability,local_interval,sub_interval,t_j,soft_pct,hard_pct,flagged_ratio_limit,min_seg_len_pct,max_suboptimal_segments,min_suboptimal_events_before_global,emergency_hard_segment_ratio,stop_crash_local_sub,block_size,jli_avg_us,jli_min_us,jli_max_us,jli_p50_us,jli_p95_us,jli_p99_us,jli_stddev_us,jli_jitter_us,jli_ci_lo_us,jli_ci_hi_us,sl_avg_us,sl_min_us,sl_max_us,sl_p50_us,sl_p95_us,sl_p99_us,sl_stddev_us,sl_jitter_us,sl_ci_lo_us,sl_ci_hi_us,ratio,win_rate,jli_mem_bytes,sl_mem_bytes,jli_steps_avg,jli_steps_p99,jli_dissolve_rate,jli_rebuild_rate,jli_local_scan,jli_sub_scan,jli_local_rebuild,jli_sub_rebuild,jli_global_rebuild,jli_rebuild_node_touches,jli_effective_cost,jli_efficiency,mem_ratio,repetition,seed,base_seed,repetitions_count,eval_id
3,False,INSERT,adversarial,50000,2000000,0,8192-24-1-0.50,8192,24,1,0.500000,700,1000,0.318602,0.178539,0.459105,0.327735,0.143966,0.501797,5,0.864102,0.061065,8,0.12158,0.09642,0.17168,0.10612,0.16701,0.17075,0.02898,0.06462,0.10085,0.14231,0.12884,0.10132,0.16920,0.11287,0.16653,0.16866,0.02866,0.05579,0.10833,0.14934,0.940203,0.700000,49267584,65583648,13.26,25.00,0.000000,0.000183,25720,20000,1200,2460,0,44056340,5.990109e+06,1.669419e-07,0.751217,0,45,45,10,1
4,False,INSERT,adversarial,50000,2000000,0,1024-32-3-0.50,1024,32,3,0.500000,700,2000,0.320106,0.296353,0.452642,0.399400,0.217527,0.396621,2,0.756478,0.069413,10,0.29942,0.27138,0.32195,0.29581,0.31758,0.32077,0.01322,0.02496,0.29448,0.30435,0.20504,0.18118,0.22668,0.20813,0.22035,0.22522,0.01219,0.01709,0.20048,0.20959,1.421287,0.000000,49866896,81992176,23.44,49.74,0.000000,0.001004,81420,30000,30240,30000,0,124339380,1.493103e+07,6.697462e-08,0.608191,0,46,46,30,1
4,False,INSERT,adversarial,50000,2000000,0,1024-32-3-0.50,1024,32,3,0.500000,700,2000,0.320106,0.296353,0.452642,0.399400,0.217527,0.396621,2,0.756478,0.069413,10,0.42350,0.28612,0.46623,0.43950,0.46203,0.46530,0.04513,0.02580,0.40665,0.44034,0.28304,0.19871,0.31792,0.29064,0.31057,0.31646,0.02733,0.02582,0.27284,0.29325,1.512193,0.000000,49866896,65592168,23.44,49.74,0.000000,0.001004,81420,30000,30240,30000,0,124339380,2.111841e+07,4.735205e-08,0.760257,0,46,46,30,1
4,False,INSERT,adversarial,50000,2000000,0,8192-24-1-0.50,8192,24,1,0.500000,700,1000,0.318602,0.178539,0.459105,0.327735,0.143966,0.501797,5,0.864102,0.061065,8,0.09805,0.09264,0.10209,0.09908,0.10159,0.10199,0.00324,0.00291,0.09574,0.10037,0.10491,0.09826,0.11232,0.10380,0.11080,0.11202,0.00430,0.00822,0.10184,0.10799,0.954600,1.000000,49267584,65600096,13.26,25.00,0.000000,0.000183,25720,20000,1200,2460,0,44056340,4.830860e+06,2.070025e-07,0.751029,0,46,46,10,1
5,False,INSERT,adversarial,50000,2000000,0,1024-32-3-0.50,1024,32,3,0.500000,700,2000,0.320106,0.296353,0.452642,0.399400,0.217527,0.396621,2,0.756478,0.069413,10,0.29808,0.26543,0.32479,0.29594,0.32100,0.32467,0.01406,0.02874,0.29283,0.30332,0.20689,0.17490,0.23111,0.20697,0.22435,0.22924,0.01226,0.02227,0.20231,0.21146,1.429869,0.000000,49866984,81981120,23.45,49.80,0.000000,0.001004,81420,30000,30240,30000,0,124339380,1.486416e+07,6.727590e-08,0.608274,0,47,47,30,1
5,False,INSERT,adversarial,50000,2000000,0,1024-32-3-0.50,1024,32,3,0.500000,700,2000,0.320106,0.296353,0.452642,0.399400,0.217527,0.396621,2,0.756478,0.069413,10,0.34012,0.27415,0.47910,0.29734,0.45376,0.47283,0.07302,0.17549,0.31286,0.36739,0.23268,0.18342,0.32536,0.20198,0.31102,0.32219,0.04891,0.12020,0.21442,0.25095,1.472089,0.000000,49866984,65581112,23.45,49.80,0.000000,0.001004,81420,30000,30240,30000,0,124339380,1.696093e+07,5.895903e-08,0.760386,0,47,47,30,1
5,False,INSERT,adversarial,50000,2000000,0,8192-24-1-0.50,8192,24,1,0.500000,700,1000,0.318602,0.178539,0.459105,0.327735,0.143966,0.501797,5,0.864102,0.061065,8,0.09581,0.09315,0.10539,0.09533,0.10134,0.10458,0.00356,0.00925,0.09327,0.09835,0.10368,0.09931,0.10950,0.10314,0.10941,0.10948,0.00387,0.00634,0.10091,0.10645,0.924284,0.900000,49267584,65588080,13.26,25.00,0.000000,0.000183,25720,20000,1200,2460,0,44056340,4.720327e+06,2.118497e-07,0.751167,0,47,47,10,1
6,False,INSERT,adversarial,50000,2000000,0,1024-32-3-0.50,1024,32,3,0.500000,700,2000,0.320106,0.296353,0.452642,0.399400,0.217527,0.396621,2,0.756478,0.069413,10,0.28931,0.26573,0.31922,0.28930,0.31332,0.31918,0.01226,0.02989,0.28473,0.29389,0.20235,0.18382,0.23361,0.20226,0.22593,0.23158,0.01322,0.02932,0.19742,0.20729,1.430336,0.000000,49866896,81985696,23.45,49.77,0.000000,0.001004,81420,30000,30240,30000,0,124339380,1.442699e+07,6.931454e-08,0.608239,0,48,48,30,1
6,False,INSERT,adversarial,50000,2000000,0,1024-32-3-0.50,1024,32,3,0.500000,700,2000,0.320106,0.296353,0.452642,0.399400,0.217527,0.396621,2,0.756478,0.069413,10,0.29037,0.26284,0.31588,0.29047,0.31034,0.31455,0.01305,0.02408,0.28550,0.29525,0.19848,0.17849,0.22370,0.19756,0.21035,0.21998,0.00953,0.02242,0.19492,0.20204,1.470246,0.000000,49866896,65585688,23.45,49.77,0.000000,0.001004,81420,30000,30240,30000,0,124339380,1.448004e+07,6.906057e-08,0.760332,0,48,48,30,1
7,False,INSERT,adversarial,50000,2000000,0,1024-32-3-0.50,1024,32,3,0.500000,700,2000,0.320106,0.296353,0.452642,0.399400,0.217527,0.396621,2,0.756478,0.069413,10,0.29336,0.26595,0.32721,0.29451,0.31196,0.32336,0.01286,0.02885,0.28856,0.29816,0.20385,0.17722,0.21989,0.20675,0.21844,0.21960,0.01173,0.01284,0.19947,0.20823,1.424445,0.000000,49866904,81990000,23.44,49.77,0.000000,0.001004,81420,30000,30240,30000,0,124339380,1.462904e+07,6.835717e-08,0.608207,0,49,49,30,1
