run,discarded,section,pattern,n,nops,param_set,label,segment_size,shortcuts_per_junction,max_skip_level,level_probability,local_interval,sub_interval,t_j,soft_pct,hard_pct,flagged_ratio_limit,min_seg_len_pct,max_suboptimal_segments,min_suboptimal_events_before_global,emergency_hard_segment_ratio,stop_crash_local_sub,block_size,jli_avg_us,jli_min_us,jli_max_us,jli_p50_us,jli_p95_us,jli_p99_us,jli_stddev_us,jli_jitter_us,jli_ci_lo_us,jli_ci_hi_us,sl_avg_us,sl_min_us,sl_max_us,sl_p50_us,sl_p95_us,sl_p99_us,sl_stddev_us,sl_jitter_us,sl_ci_lo_us,sl_ci_hi_us,ratio,win_rate,jli_mem_bytes,sl_mem_bytes,jli_steps_avg,jli_steps_p99,jli_dissolve_rate,jli_rebuild_rate,jli_local_scan,jli_sub_scan,jli_local_rebuild,jli_sub_rebuild,jli_global_rebuild,jli_rebuild_node_touches,jli_effective_cost,jli_efficiency,mem_ratio,repetition,seed,base_seed,repetitions_count,eval_id
3,False,INSERT,adversarial,50000,2000000,0,8192-24-1-0.50,8192,24,1,0.500000,2500000,2600000,0.318602,0.178539,0.459105,0.327735,0.143966,0.501797,5,0.864102,0.061065,8,0.05264,0.05021,0.05345,0.05298,0.05338,0.05344,0.00096,0.00046,0.05195,0.05333,0.10569,0.10192,0.10806,0.10695,0.10787,0.10802,0.00244,0.00107,0.10394,0.10743,0.495360,1.000000,49202672,65583648,1.00,1.00,0.000000,0.000000,0,0,0,0,0,0,2.590109e+06,3.860841e-07,0.750228,0,45,45,10,1
4,False,INSERT,adversarial,50000,2000000,0,1024-32-3-0.50,1024,32,3,0.500000,2500000,2600000,0.320106,0.296353,0.452642,0.399400,0.217527,0.396621,2,0.756478,0.069413,10,0.14712,0.10938,0.19274,0.14598,0.18429,0.19104,0.02530,0.04506,0.13767,0.15656,0.25232,0.19189,0.31506,0.26461,0.29799,0.31028,0.04171,0.04566,0.23675,0.26790,0.551673,1.000000,49216904,81992176,3.40,3.40,0.000000,0.000000,0,0,0,0,0,0,7.240606e+06,1.381100e-07,0.600263,0,46,46,30,1
4,False,INSERT,adversarial,50000,2000000,0,1024-32-3-0.50,1024,32,3,0.500000,2500000,2600000,0.320106,0.296353,0.452642,0.399400,0.217527,0.396621,2,0.756478,0.069413,10,0.11477,0.09793,0.14670,0.11485,0.12864,0.14174,0.01008,0.02689,0.11101,0.11854,0.19611,0.16908,0.21946,0.19669,0.21448,0.21836,0.01242,0.02166,0.19147,0.20075,0.583929,1.000000,49216904,65592168,3.40,3.40,0.000000,0.000000,0,0,0,0,0,0,5.648819e+06,1.770281e-07,0.750347,0,46,46,30,1
4,False,INSERT,adversarial,50000,2000000,0,8192-24-1-0.50,8192,24,1,0.500000,2500000,2600000,0.318602,0.178539,0.459105,0.327735,0.143966,0.501797,5,0.864102,0.061065,8,0.05281,0.05051,0.05563,0.05272,0.05494,0.05550,0.00149,0.00278,0.05174,0.05388,0.10363,0.09767,0.11072,0.10370,0.10927,0.11043,0.00391,0.00674,0.10083,0.10643,0.508354,1.000000,49202672,65600096,1.00,1.00,0.000000,0.000000,0,0,0,0,0,0,2.598438e+06,3.848466e-07,0.750040,0,46,46,10,1
5,False,INSERT,adversarial,50000,2000000,0,1024-32-3-0.50,1024,32,3,0.500000,2500000,2600000,0.320106,0.296353,0.452642,0.399400,0.217527,0.396621,2,0.756478,0.069413,10,0.15496,0.10527,0.17982,0.16140,0.17757,0.17943,0.02177,0.01804,0.14683,0.16309,0.26535,0.18709,0.31394,0.27003,0.29187,0.30756,0.02700,0.03753,0.25527,0.27543,0.597693,1.000000,49216896,81981120,3.33,3.33,0.000000,0.000000,0,0,0,0,0,0,7.626565e+06,1.311206e-07,0.600344,0,47,47,30,1
5,False,INSERT,adversarial,50000,2000000,0,1024-32-3-0.50,1024,32,3,0.500000,2500000,2600000,0.320106,0.296353,0.452642,0.399400,0.217527,0.396621,2,0.756478,0.069413,10,0.11595,0.08707,0.15603,0.11348,0.13655,0.15065,0.01359,0.03717,0.11087,0.12102,0.19366,0.17184,0.21031,0.19421,0.20581,0.20917,0.00913,0.01496,0.19025,0.19707,0.584322,1.000000,49216896,65581112,3.33,3.33,0.000000,0.000000,0,0,0,0,0,0,5.706503e+06,1.752387e-07,0.750474,0,47,47,30,1
5,False,INSERT,adversarial,50000,2000000,0,8192-24-1-0.50,8192,24,1,0.500000,2500000,2600000,0.318602,0.178539,0.459105,0.327735,0.143966,0.501797,5,0.864102,0.061065,8,0.05460,0.05321,0.05635,0.05437,0.05621,0.05632,0.00111,0.00195,0.05381,0.05539,0.10466,0.09998,0.11027,0.10446,0.10934,0.11009,0.00362,0.00562,0.10207,0.10725,0.520497,1.000000,49202672,65588080,1.00,1.00,0.000000,0.000000,0,0,0,0,0,0,2.686494e+06,3.722324e-07,0.750177,0,47,47,10,1
6,False,INSERT,adversarial,50000,2000000,0,1024-32-3-0.50,1024,32,3,0.500000,2500000,2600000,0.320106,0.296353,0.452642,0.399400,0.217527,0.396621,2,0.756478,0.069413,10,0.15612,0.10325,0.18119,0.16433,0.17808,0.18067,0.02297,0.01634,0.14754,0.16469,0.26971,0.18674,0.31605,0.27289,0.30135,0.31319,0.02837,0.04030,0.25911,0.28030,0.602172,1.000000,49216912,81985696,3.27,3.27,0.000000,0.000000,0,0,0,0,0,0,7.683605e+06,1.301472e-07,0.600311,0,48,48,30,1
6,False,INSERT,adversarial,50000,2000000,0,1024-32-3-0.50,1024,32,3,0.500000,2500000,2600000,0.320106,0.296353,0.452642,0.399400,0.217527,0.396621,2,0.756478,0.069413,10,0.11348,0.09511,0.13700,0.11104,0.13097,0.13579,0.01056,0.02474,0.10953,0.11742,0.19317,0.17219,0.21846,0.19145,0.21427,0.21792,0.01102,0.02648,0.18906,0.19729,0.580019,1.000000,49216912,65585688,3.27,3.27,0.000000,0.000000,0,0,0,0,0,0,5.584892e+06,1.790545e-07,0.750422,0,48,48,30,1
7,False,INSERT,adversarial,50000,2000000,0,1024-32-3-0.50,1024,32,3,0.500000,2500000,2600000,0.320106,0.296353,0.452642,0.399400,0.217527,0.396621,2,0.756478,0.069413,10,0.15802,0.10443,0.18566,0.16264,0.17965,0.18410,0.02216,0.02146,0.14975,0.16630,0.26522,0.18706,0.31064,0.26817,0.30150,0.30853,0.02890,0.04035,0.25443,0.27601,0.606466,1.000000,49216896,81990000,3.20,3.20,0.000000,0.000000,0,0,0,0,0,0,7.777491e+06,1.285762e-07,0.600279,0,49,49,30,1
7,False,INSERT,adversarial,50000,2000000,0,1024-32-3-0.50,1024,32,3,0.500000,2500000,2600000,0.320106,0.296353,0.452642,0.399400,0.217527,0.396621,2,0.756478,0.069413,10,0.11180,0.08848,0.13406,0.11225,0.12520,0.13185,0.00979,0.01960,0.10814,0.11546,0.19452,0.16975,0.22739,0.19488,0.21444,0.22427,0.01232,0.02939,0.18992,0.19912,0.576003,1.000000,49216896,65589992,3.20,3.20,0.000000,0.000000,0,0,0,0,0,0,5.502365e+06,1.817400e-07,0.750372,0,49,49,30,1
8,False,INSERT,adversarial,50000,2000000,0,1024-32-3-0.50,1024,32,3,0.500000,2500000,2600000,0.320106,0.296353,0.452642,0.399400,0.217527,0.396621,2,0.756478,0.069413,10,0.16540,0.10407,0.21173,0.17218,0.18734,0.20467,0.02608,0.03248,0.15566,0.17513,0.27461,0.19567,0.32951,0.28507,0.31152,0.32577,0.03113,0.04070,0.26299,0.28623,0.604017,1.000000,49216904,82005600,3.30,3.30,0.000000,0.000000,0,0,0,0,0,0,8.140348e+06,1.228449e-07,0.600165,0,50,50,30,1
8,False,INSERT,adversarial,50000,2000000,0,1024-32-3-0.50,1024,32,3,0.500000,2500000,2600000,0.320106,0.296353,0.452642,0.399400,0.217527,0.396621,2,0.756478,0.069413,10,0.11146,0.08781,0.13422,0.11133,0.12657,0.13248,0.01120,0.02115,0.10727,0.11564,0.19068,0.16605,0.21534,0.19412,0.20761,0.21358,0.01302,0.01947,0.18582,0.19554,0.573538,1.000000,49216904,65605592,3.30,3.30,0.000000,0.000000,0,0,0,0,0,0,5.485518e+06,1.822982e-07,0.750194,0,50,50,30,1
9,False,INSERT,adversarial,50000,2000000,0,1024-32-3-0.50,1024,32,3,0.500000,2500000,2600000,0.320106,0.296353,0.452642,0.399400,0.217527,0.396621,2,0.756478,0.069413,10,0.16449,0.10485,0.19076,0.17002,0.18711,0.18972,0.02313,0.01970,0.15585,0.17312,0.27489,0.19166,0.32038,0.28166,0.30309,0.31672,0.02893,0.03505,0.26409,0.28570,0.603613,1.000000,49216896,81999280,3.30,3.30,0.000000,0.000000,0,0,0,0,0,0,8.095542e+06,1.235248e-07,0.600211,0,51,51,30,1
9,False,INSERT,adversarial,50000,2000000,0,1024-32-3-0.50,1024,32,3,0.500000,2500000,2600000,0.320106,0.296353,0.452642,0.399400,0.217527,0.396621,2,0.756478,0.069413,10,0.11294,0.09098,0.13058,0.11377,0.12426,0.12890,0.00891,0.01513,0.10961,0.11627,0.19303,0.17509,0.21227,0.19384,0.21007,0.21190,0.01037,0.01806,0.18916,0.19690,0.586928,1.000000,49216896,65599272,3.30,3.30,0.000000,0.000000,0,0,0,0,0,0,5.558473e+06,1.799055e-07,0.750266,0,51,51,30,1
1,False,INSERT,hotspot,50000,2000000,0,256-32-4-0.50,256,32,4,0.500000,2500000,2600000,0.131035,0.290873,0.532200,0.352281,0.141905,0.340356,5,0.750369,0.037868,20,0.65166,0.61026,0.71764,0.64603,0.70441,0.71491,0.02560,0.06888,0.64210,0.66122,0.45185,0.38533,0.50230,0.45535,0.48491,0.49880,0.02226,0.04346,0.44354,0.46016,1.418758,0.000000,3590704,5888648,20.01,32.80,0.000000,0.000000,0,0,0,0,0,0,2.339903e+06,4.273682e-07,0.609767,0,43,43,30,1
1,False,INSERT,hotspot,50000,2000000,0,256-32-4-0.50,256,32,4,0.500000,2500000,2600000,0.131035,0.290873,0.532200,0.352281,0.141905,0.340356,5,0.750369,0.037868,20,0.78611,0.59588,0.91712,0.84125,0.89327,0.91113,0.11183,0.06988,0.74436,0.82786,0.51543,0.37593,0.60304,0.55430,0.58148,0.59726,0.07077,0.04296,0.48901,0.54185,1.517674,0.000000,3590704,4713632,20.01,32.80,0.000000,0.000000,0,0,0,0,0,0,2.822696e+06,3.542712e-07,0.761770,0,43,43,30,1
1,False,INSERT,hotspot,50000,2000000,0,256-32-4-0.50,256,32,4,0.500000,2500000,2600000,0.139407,0.268887,0.560038,0.304008,0.153014,0.546747,4,0.969262,0.056850,24,0.50075,0.45712,0.56444,0.49835,0.55536,0.56262,0.03377,0.06427,0.47659,0.52490,0.34417,0.29442,0.44796,0.33069,0.41913,0.44220,0.04702,0.11151,0.31054,0.37781,1.507007,0.000000,3589040,4690080,20.16,32.90,0.000000,0.000000,0,0,0,0,0,0,1.797198e+06,5.564219e-07,0.765241,0,43,43,10,1
10,False,INSERT,hotspot,50000,2000000,0,256-32-4-0.50,256,32,4,0.500000,2500000,2600000,0.131035,0.290873,0.532200,0.352281,0.141905,0.340356,5,0.750369,0.037868,20,0.63555,0.60361,0.67380,0.63711,0.66351,0.67098,0.01867,0.03387,0.62858,0.64252,0.44343,0.41753,0.48540,0.44189,0.47621,0.48422,0.01678,0.04233,0.43716,0.44969,1.441801,0.000000,3589240,5874688,19.85,32.57,0.000000,0.000000,0,0,0,0,0,0,2.281137e+06,4.383778e-07,0.610967,0,52,52,30,1
10,False,INSERT,hotspot,50000,2000000,0,256-32-4-0.50,256,32,4,0.500000,2500000,2600000,0.131035,0.290873,0.532200,0.352281,0.141905,0.340356,5,0.750369,0.037868,20,0.82711,0.62756,0.90827,0.82980,0.89436,0.90441,0.06145,0.07461,0.80417,0.85006,0.54940,0.39686,0.61076,0.55234,0.59643,0.60709,0.03691,0.05475,0.53562,0.56318,1.502335,0.000000,3589240,4700152,19.85,32.57,0.000000,0.000000,0,0,0,0,0,0,2.968708e+06,3.368468e-07,0.763643,0,52,52,30,1
2,False,INSERT,hotspot,50000,2000000,0,256-32-4-0.50,256,32,4,0.500000,2500000,2600000,0.131035,0.290873,0.532200,0.352281,0.141905,0.340356,5,0.750369,0.037868,20,0.62820,0.57650,0.67499,0.62968,0.65886,0.67099,0.02143,0.04132,0.62019,0.63620,0.44184,0.42050,0.49995,0.43881,0.46887,0.49430,0.01584,0.05550,0.43592,0.44775,1.434978,0.000000,3590472,5879704,19.96,32.67,0.000000,0.000000,0,0,0,0,0,0,2.255520e+06,4.433567e-07,0.610655,0,44,44,30,1
2,False,INSERT,hotspot,50000,2000000,0,256-32-4-0.50,256,32,4,0.500000,2500000,2600000,0.131035,0.290873,0.532200,0.352281,0.141905,0.340356,5,0.750369,0.037868,20,0.82866,0.63807,1.08606,0.85331,0.93439,1.04240,0.10485,0.18909,0.78951,0.86781,0.54758,0.41447,0.67873,0.57696,0.62300,0.66390,0.07105,0.08693,0.52105,0.57411,1.478978,0.000000,3590472,4704760,19.96,32.67,0.000000,0.000000,0,0,0,0,0,0,2.975273e+06,3.361036e-07,0.763157,0,44,44,30,1
2,False,INSERT,hotspot,50000,2000000,0,256-32-4-0.50,256,32,4,0.500000,2500000,2600000,0.139407,0.268887,0.560038,0.304008,0.153014,0.546747,4,0.969262,0.056850,24,0.46021,0.39072,0.50987,0.47361,0.50981,0.50986,0.04525,0.03625,0.42784,0.49258,0.31267,0.26012,0.38300,0.31527,0.37431,0.38126,0.03839,0.06599,0.28521,0.34013,1.502227,0.000000,3587264,4697104,20.13,32.90,0.000000,0.000000,0,0,0,0,0,0,1.650890e+06,6.057339e-07,0.763718,0,44,44,10,1
3,False,INSERT,hotspot,50000,2000000,0,256-32-4-0.50,256,32,4,0.500000,2500000,2600000,0.131035,0.290873,0.532200,0.352281,0.141905,0.340356,5,0.750369,0.037868,20,0.64258,0.61349,0.66936,0.63870,0.66794,0.66932,0.01796,0.03062,0.63588,0.64929,0.45288,0.41537,0.48828,0.45232,0.48483,0.48779,0.01741,0.03547,0.44638,0.45938,1.412068,0.000000,3592392,5879288,20.02,32.67,0.000000,0.000000,0,0,0,0,0,0,2.308410e+06,4.331986e-07,0.611025,0,45,45,30,1
