run,discarded,section,pattern,n,nops,param_set,label,segment_size,shortcuts_per_junction,max_skip_level,level_probability,local_interval,sub_interval,t_j,soft_pct,hard_pct,flagged_ratio_limit,min_seg_len_pct,max_suboptimal_segments,min_suboptimal_events_before_global,emergency_hard_segment_ratio,stop_crash_local_sub,block_size,jli_avg_us,jli_min_us,jli_max_us,jli_p50_us,jli_p95_us,jli_p99_us,jli_stddev_us,jli_jitter_us,jli_ci_lo_us,jli_ci_hi_us,sl_avg_us,sl_min_us,sl_max_us,sl_p50_us,sl_p95_us,sl_p99_us,sl_stddev_us,sl_jitter_us,sl_ci_lo_us,sl_ci_hi_us,ratio,win_rate,jli_mem_bytes,sl_mem_bytes,jli_steps_avg,jli_steps_p99,jli_dissolve_rate,jli_rebuild_rate,jli_local_scan,jli_sub_scan,jli_local_rebuild,jli_sub_rebuild,jli_global_rebuild,jli_rebuild_node_touches,jli_effective_cost,jli_efficiency,mem_ratio,repetition,seed,base_seed,repetitions_count,eval_id
6,False,DELETE,sequential,250000,71428,0,1024-8-4-0.50,1024,8,4,0.500000,1200,2000,0.295454,0.154075,0.524677,0.255114,0.169937,0.273678,5,0.711825,0.079575,24,0.19089,0.09767,0.32565,0.18437,0.27564,0.31278,0.05718,0.12841,0.16954,0.21224,0.19440,0.12078,0.34179,0.17561,0.29842,0.33433,0.05825,0.15871,0.17265,0.21615,1.049842,0.533333,4311136,5710888,4.00,4.00,0.000966,0.000700,1740,1050,450,1050,0,1741500,8.229436e+05,1.215150e-06,0.754898,0,48,48,30,1
7,False,DELETE,sequential,250000,71428,0,1024-8-4-0.50,1024,8,4,0.500000,1200,2000,0.295454,0.154075,0.524677,0.255114,0.169937,0.273678,5,0.711825,0.079575,24,0.17783,0.09804,0.43992,0.17148,0.24534,0.38728,0.06380,0.21580,0.15401,0.20166,0.18833,0.11803,0.28161,0.18766,0.24866,0.27246,0.04495,0.08480,0.17155,0.20512,0.913788,0.766667,4311160,5714128,4.00,4.00,0.000966,0.000700,1740,1050,450,1050,0,1741500,7.666730e+05,1.304337e-06,0.754474,0,49,49,30,1
8,False,DELETE,sequential,250000,71428,0,1024-8-4-0.50,1024,8,4,0.500000,1200,2000,0.295454,0.154075,0.524677,0.255114,0.169937,0.273678,5,0.711825,0.079575,24,0.16774,0.10448,0.26456,0.15894,0.22276,0.25334,0.04010,0.09440,0.15277,0.18271,0.17667,0.10544,0.24965,0.17208,0.24632,0.24917,0.04242,0.07709,0.16083,0.19251,0.923635,0.666667,4311144,5711944,4.00,4.00,0.000966,0.000700,1740,1050,450,1050,0,1741500,7.231568e+05,1.382826e-06,0.754760,0,50,50,30,1
9,False,DELETE,sequential,250000,71428,0,1024-8-4-0.50,1024,8,4,0.500000,1200,2000,0.295454,0.154075,0.524677,0.255114,0.169937,0.273678,5,0.711825,0.079575,24,0.15904,0.10921,0.22464,0.15505,0.21556,0.22344,0.03496,0.06839,0.14599,0.17209,0.16465,0.10441,0.25464,0.15665,0.22653,0.24684,0.04115,0.09019,0.14929,0.18002,0.989838,0.566667,4311128,5707912,4.00,4.00,0.000966,0.000700,1740,1050,450,1050,0,1741500,6.856366e+05,1.458499e-06,0.755290,0,51,51,30,1
1,False,DELETE,sequential,500000,142857,0,1024-8-5-0.50,1024,8,5,0.500000,2000,2200,0.300000,0.150000,0.450000,0.290000,0.150000,0.650000,4,0.950000,0.070000,24,0.21566,0.12524,0.36640,0.21645,0.28393,0.34595,0.04887,0.12950,0.19742,0.23391,0.24741,0.14746,0.39242,0.23906,0.33499,0.37579,0.05478,0.13673,0.22696,0.26787,0.905447,0.700000,8621464,11431376,4.00,4.00,0.000973,0.000567,1950,1920,510,1920,0,1368420,1.859325e+06,5.378296e-07,0.754193,0,43,43,30,1
10,False,DELETE,sequential,500000,142857,0,1024-8-5-0.50,1024,8,5,0.500000,2000,2200,0.300000,0.150000,0.450000,0.290000,0.150000,0.650000,4,0.950000,0.070000,24,0.18029,0.11722,0.26699,0.18674,0.24093,0.26275,0.04042,0.07601,0.16520,0.19538,0.22784,0.14364,0.46990,0.22191,0.26919,0.41295,0.05836,0.19104,0.20605,0.24963,0.841490,0.766667,8621520,11430512,4.00,4.00,0.000973,0.000567,1950,1920,510,1920,0,1368420,1.554379e+06,6.433438e-07,0.754255,0,52,52,30,1
2,False,DELETE,sequential,500000,142857,0,1024-8-5-0.50,1024,8,5,0.500000,2000,2200,0.300000,0.150000,0.450000,0.290000,0.150000,0.650000,4,0.950000,0.070000,24,0.24050,0.11762,0.39051,0.24560,0.32825,0.37568,0.06849,0.13009,0.21492,0.26607,0.26044,0.12561,0.34639,0.25024,0.34452,0.34585,0.06361,0.09561,0.23669,0.28419,0.981430,0.666667,8621480,11428704,4.00,4.00,0.000973,0.000567,1950,1920,510,1920,0,1368420,2.073436e+06,4.822912e-07,0.754371,0,44,44,30,1
3,False,DELETE,sequential,500000,142857,0,1024-8-5-0.50,1024,8,5,0.500000,2000,2200,0.300000,0.150000,0.450000,0.290000,0.150000,0.650000,4,0.950000,0.070000,24,0.25083,0.14740,0.30798,0.25753,0.30684,0.30776,0.03606,0.05023,0.23737,0.26430,0.29314,0.15626,0.81144,0.27966,0.33620,0.67417,0.10633,0.39450,0.25345,0.33284,0.920852,0.733333,8621472,11431168,4.00,4.00,0.000973,0.000567,1950,1920,510,1920,0,1368420,2.162561e+06,4.624148e-07,0.754207,0,45,45,30,1
4,False,DELETE,sequential,500000,142857,0,1024-8-5-0.50,1024,8,5,0.500000,2000,2200,0.300000,0.150000,0.450000,0.290000,0.150000,0.650000,4,0.950000,0.070000,24,0.23602,0.17164,0.33213,0.22253,0.29954,0.32336,0.04137,0.10083,0.22057,0.25147,0.24350,0.14965,0.37281,0.23630,0.32617,0.36143,0.04746,0.12513,0.22578,0.26122,0.941726,0.533333,8621440,11431432,4.00,4.00,0.000973,0.000567,1950,1920,510,1920,0,1368420,2.034838e+06,4.914396e-07,0.754187,0,46,46,30,1
5,False,DELETE,sequential,500000,142857,0,1024-8-5-0.50,1024,8,5,0.500000,2000,2200,0.300000,0.150000,0.450000,0.290000,0.150000,0.650000,4,0.950000,0.070000,24,0.19029,0.10852,0.27262,0.19691,0.25853,0.27008,0.04934,0.07318,0.17186,0.20871,0.19854,0.11449,0.31411,0.18709,0.29105,0.30836,0.06326,0.12127,0.17492,0.22217,1.052453,0.633333,8621464,11422784,4.00,4.00,0.000973,0.000567,1950,1920,510,1920,0,1368420,1.640558e+06,6.095488e-07,0.754760,0,47,47,30,1
6,False,DELETE,sequential,500000,142857,0,1024-8-5-0.50,1024,8,5,0.500000,2000,2200,0.300000,0.150000,0.450000,0.290000,0.150000,0.650000,4,0.950000,0.070000,24,0.19273,0.11534,0.25612,0.19603,0.25204,0.25518,0.03671,0.05915,0.17902,0.20644,0.20952,0.11726,0.32154,0.21750,0.27110,0.30708,0.05051,0.08959,0.19066,0.22838,0.901305,0.633333,8621456,11414512,4.00,4.00,0.000973,0.000567,1950,1920,510,1920,0,1368420,1.661594e+06,6.018317e-07,0.755307,0,48,48,30,1
7,False,DELETE,sequential,500000,142857,0,1024-8-5-0.50,1024,8,5,0.500000,2000,2200,0.300000,0.150000,0.450000,0.290000,0.150000,0.650000,4,0.950000,0.070000,24,0.18679,0.10946,0.26976,0.18475,0.24618,0.26717,0.03786,0.08242,0.17265,0.20092,0.21277,0.12040,0.34381,0.22216,0.25315,0.31763,0.04188,0.09546,0.19714,0.22841,0.831621,0.800000,8621408,11427824,4.00,4.00,0.000973,0.000567,1950,1920,510,1920,0,1368420,1.610369e+06,6.209759e-07,0.754423,0,49,49,30,1
8,False,DELETE,sequential,500000,142857,0,1024-8-5-0.50,1024,8,5,0.500000,2000,2200,0.300000,0.150000,0.450000,0.290000,0.150000,0.650000,4,0.950000,0.070000,24,0.18374,0.10745,0.23822,0.19179,0.22930,0.23596,0.03721,0.04417,0.16984,0.19763,0.20400,0.11337,0.29059,0.20384,0.27370,0.28654,0.04511,0.08270,0.18716,0.22084,0.940913,0.766667,8621392,11434632,4.00,4.00,0.000973,0.000567,1950,1920,510,1920,0,1368420,1.584061e+06,6.312886e-07,0.753972,0,50,50,30,1
9,False,DELETE,sequential,500000,142857,0,1024-8-5-0.50,1024,8,5,0.500000,2000,2200,0.300000,0.150000,0.450000,0.290000,0.150000,0.650000,4,0.950000,0.070000,24,0.19069,0.10960,0.32293,0.19925,0.27806,0.31433,0.05201,0.11508,0.17127,0.21010,0.20976,0.12101,0.33490,0.22139,0.30329,0.33298,0.05711,0.11160,0.18843,0.23108,0.900024,0.733333,8621376,11416168,4.00,4.00,0.000973,0.000567,1950,1920,510,1920,0,1368420,1.643969e+06,6.082839e-07,0.755190,0,51,51,30,1
1,False,DELETE,sequential,50000,14285,0,512-4-3-0.50,512,4,3,0.500000,1200,1300,0.281797,0.139244,0.466898,0.234808,0.138289,0.692591,6,0.930044,0.078168,24,0.17623,0.10266,0.28148,0.17130,0.26124,0.27639,0.05308,0.10509,0.15642,0.19605,0.17190,0.10141,0.26214,0.16165,0.25373,0.26015,0.04695,0.09850,0.15437,0.18944,1.059720,0.633333,865536,1147808,3.00,3.00,0.001890,0.000560,300,300,90,150,0,48930,1.525375e+05,6.555764e-06,0.754077,0,43,43,30,1
10,False,DELETE,sequential,50000,14285,0,512-4-3-0.50,512,4,3,0.500000,1200,1300,0.281797,0.139244,0.466898,0.234808,0.138289,0.692591,6,0.930044,0.078168,24,0.13714,0.09025,0.21095,0.13090,0.18424,0.20358,0.03377,0.07268,0.12453,0.14975,0.14304,0.09822,0.18704,0.14536,0.18564,0.18682,0.03106,0.04145,0.13145,0.15464,0.900506,0.600000,865520,1142832,3.00,3.00,0.001890,0.000560,300,300,90,150,0,48930,1.187001e+05,8.424590e-06,0.757347,0,52,52,30,1
2,False,DELETE,sequential,50000,14285,0,512-4-3-0.50,512,4,3,0.500000,1200,1300,0.281797,0.139244,0.466898,0.234808,0.138289,0.692591,6,0.930044,0.078168,24,0.15312,0.08994,0.25166,0.15805,0.21899,0.24257,0.04333,0.08452,0.13694,0.16929,0.15721,0.10119,0.26674,0.14237,0.22598,0.25746,0.04773,0.11509,0.13939,0.17503,1.110169,0.633333,865512,1143400,3.00,3.00,0.001890,0.000560,300,300,90,150,0,48930,1.325250e+05,7.545745e-06,0.756963,0,44,44,30,1
3,False,DELETE,sequential,50000,14285,0,512-4-3-0.50,512,4,3,0.500000,1200,1300,0.281797,0.139244,0.466898,0.234808,0.138289,0.692591,6,0.930044,0.078168,24,0.14332,0.09164,0.23031,0.12592,0.21960,0.22813,0.04234,0.10221,0.12751,0.15913,0.15248,0.09954,0.27238,0.14433,0.22205,0.26137,0.04169,0.11705,0.13691,0.16805,0.872484,0.833333,865528,1142528,3.00,3.00,0.001890,0.000560,300,300,90,150,0,48930,1.240441e+05,8.061651e-06,0.757555,0,45,45,30,1
4,False,DELETE,sequential,50000,14285,0,512-4-3-0.50,512,4,3,0.500000,1200,1300,0.281797,0.139244,0.466898,0.234808,0.138289,0.692591,6,0.930044,0.078168,24,0.13445,0.08258,0.27159,0.12040,0.17583,0.24421,0.03817,0.12381,0.12019,0.14870,0.15240,0.10219,0.24902,0.15270,0.21009,0.23949,0.03972,0.08679,0.13757,0.16723,0.788498,0.733333,865512,1141288,3.00,3.00,0.001890,0.000560,300,300,90,150,0,48930,1.163642e+05,8.593712e-06,0.758364,0,46,46,30,1
5,False,DELETE,sequential,50000,14285,0,512-4-3-0.50,512,4,3,0.500000,1200,1300,0.281797,0.139244,0.466898,0.234808,0.138289,0.692591,6,0.930044,0.078168,24,0.17802,0.09131,0.52398,0.16887,0.30069,0.46385,0.08353,0.29498,0.14683,0.20921,0.17745,0.10293,0.35679,0.15214,0.31002,0.34377,0.06628,0.19164,0.15270,0.20220,1.109994,0.600000,865520,1141936,3.00,3.00,0.001890,0.000560,300,300,90,150,0,48930,1.540795e+05,6.490155e-06,0.757941,0,47,47,30,1
6,False,DELETE,sequential,50000,14285,0,512-4-3-0.50,512,4,3,0.500000,1200,1300,0.281797,0.139244,0.466898,0.234808,0.138289,0.692591,6,0.930044,0.078168,24,0.15438,0.09467,0.24071,0.14705,0.21346,0.23295,0.03884,0.08590,0.13988,0.16888,0.16398,0.09939,0.23922,0.17076,0.21884,0.23408,0.04001,0.06332,0.14904,0.17892,0.861149,0.766667,865544,1144408,3.00,3.00,0.001890,0.000560,300,300,90,150,0,48930,1.336226e+05,7.483765e-06,0.756325,0,48,48,30,1
7,False,DELETE,sequential,50000,14285,0,512-4-3-0.50,512,4,3,0.500000,1200,1300,0.281797,0.139244,0.466898,0.234808,0.138289,0.692591,6,0.930044,0.078168,24,0.16444,0.09508,0.28756,0.16254,0.24243,0.27688,0.04525,0.11433,0.14755,0.18134,0.19970,0.10942,0.68673,0.18096,0.33503,0.59812,0.10882,0.41715,0.15907,0.24033,0.898222,0.866667,865544,1145560,3.00,3.00,0.001890,0.000560,300,300,90,150,0,48930,1.423319e+05,7.025829e-06,0.755564,0,49,49,30,1
8,False,DELETE,sequential,50000,14285,0,512-4-3-0.50,512,4,3,0.500000,1200,1300,0.281797,0.139244,0.466898,0.234808,0.138289,0.692591,6,0.930044,0.078168,24,0.17008,0.08676,0.29373,0.15956,0.26083,0.28458,0.05613,0.12501,0.14912,0.19104,0.19179,0.10302,0.32468,0.17664,0.30065,0.31944,0.05824,0.14281,0.17005,0.21354,0.903339,0.733333,865528,1145416,3.00,3.00,0.001890,0.000560,300,300,90,150,0,48930,1.472072e+05,6.793145e-06,0.755645,0,50,50,30,1
