section,pattern,n,nops,mean_ratio,median_ratio,p95_ratio,p99_ratio,ratio_ci_low,ratio_ci_high,wilcoxon_p,sign_p,mean_win_rate,median_win_rate,mean_mem_ratio,median_mem_ratio
INSERT,random,50000,14285,0.9105021789619983,0.9263985,0.9045,0.9045,0.8819711762177297,0.9390331817062668,0.001953125,0.001953125,0.7133333000000001,0.733333,0.7864617,0.7884455
INSERT,sequential,100000,28571,1.0482267224294346,1.055293,1.0298,1.0298,1.028995139797817,1.0674583050610522,0.001953125,0.001953125,0.3166667,0.31666649999999996,0.770025,0.7698725
INSERT,sequential,1000000,285714,1.2961491197544772,1.316337,1.2980,1.2980,1.280984715097665,1.3113135244112895,0.001953125,0.001953125,0.0199999,0.0166665,0.7706552,0.770626
INSERT,sequential,250000,71428,1.149438451462664,1.1200145,1.1263,1.1263,1.1242588025085154,1.1746181004168128,0.001953125,0.001953125,0.1299998,0.133333,0.760374,0.7603044999999999
INSERT,sequential,500000,142857,1.2371504168786776,1.249886,1.2546,1.2546,1.2233900559131405,1.2509107778442146,0.001953125,0.001953125,0.0566667,0.066667,0.7604436,0.7603595
INSERT,sequential,50000,14285,1.048185541730037,1.061208,1.0391,1.0391,1.0107388213560435,1.0856322621040304,0.009765625,0.021484375,0.34,0.35,0.7638942,0.76434
INSERT,zipfian,100000,28571,1.2442091841073555,1.235212,1.2562,1.2562,1.2207378298951128,1.2676805383195981,0.001953125,0.001953125,0.060000000000000005,0.066667,0.7742863,0.7739910000000001
INSERT,zipfian,1000000,285714,1.3481424295791136,1.3605085,1.3549,1.3549,1.3337994114586014,1.3624854476996258,0.001953125,0.001953125,0.0,0.0,0.7820068,0.781911
INSERT,zipfian,250000,71428,1.277476304053402,1.2696304999999999,1.2641,1.2641,1.2507720088329282,1.304180599273876,0.001953125,0.001953125,0.0433334,0.05,0.7797921999999999,0.7797324999999999
INSERT,zipfian,500000,142857,1.3566042677614178,1.3643085,1.3506,1.3506,1.334117812948917,1.3790907225739186,0.001953125,0.001953125,0.013333300000000001,0.0,0.7745796,0.774482
INSERT,zipfian,50000,14285,1.1123360305513308,1.1116890000000001,1.1296,1.1296,1.09043157546768,1.1342404856349815,0.001953125,0.001953125,0.2733331,0.3,0.7812284,0.781545
STATIC,adversarial,100000,28571,0.2828886406304558,0.27696350000000003,0.2844,0.2844,0.24775873440084523,0.3180185468600664,0.001953125,0.001953125,1.0,1.0,0.7512492,0.7515235
STATIC,adversarial,1000000,285714,0.3730651306582453,0.36830450000000003,0.3897,0.3897,0.3044561547790272,0.4416741065374634,0.001953125,0.001953125,1.0,1.0,0.7507604,0.750751
STATIC,adversarial,250000,71428,0.25655129748101657,0.2518515,0.2542,0.2542,0.23097275257816816,0.28212984238386496,0.001953125,0.001953125,1.0,1.0,0.7509349,0.751075
STATIC,adversarial,500000,142857,0.3306368008940905,0.33173549999999996,0.3280,0.3280,0.2824265995565305,0.37884700223165046,0.001953125,0.001953125,1.0,1.0,0.7508708,0.7509064999999999
STATIC,adversarial,50000,14285,0.31153913033652064,0.30596999999999996,0.3085,0.3085,0.2649137732263848,0.35816448744665647,0.001953125,0.001953125,1.0,1.0,0.751437,0.7516095
STATIC,hotspot,100000,28571,0.8541257095890129,0.846447,0.8516,0.8516,0.8405845071725819,0.8676669120054439,0.001953125,0.001953125,0.9066665,0.9166665,0.7911846,0.7914675
STATIC,hotspot,1000000,285714,0.8662224915739106,0.880379,0.8370,0.8370,0.8530327918482626,0.8794121912995586,0.001953125,0.001953125,0.9166667,0.933333,0.7907843,0.790769
STATIC,hotspot,250000,71428,0.8687550377113101,0.8523855,0.8580,0.8580,0.8579022341907322,0.8796078412318881,0.001953125,0.001953125,0.8966666,0.9166665,0.7913250000000001,0.7914684999999999
STATIC,hotspot,500000,142857,0.8481705140675354,0.845663,0.8412,0.8412,0.8319512258206021,0.8643898023144687,0.001953125,0.001953125,0.9266668,0.95,0.7908845,0.7909200000000001
STATIC,hotspot,50000,14285,0.8747960018366919,0.878315,0.8474,0.8474,0.8427557131127673,0.9068362905606165,0.001953125,0.001953125,0.8866667,0.933333,0.7913981,0.791559
