section,pattern,n,nops,segment_size,shortcuts_per_junction,max_skip_level,level_probability,local_interval,sub_interval,t_j,soft_pct,hard_pct,flagged_ratio_limit,min_seg_len_pct,max_suboptimal_segments,min_suboptimal_events_before_global,emergency_hard_segment_ratio,stop_crash_local_sub,block_size,seed,mean_base_seed,median_base_seed,mean_eval_id,median_eval_id,mean_jli_avg_us,median_jli_avg_us,mean_jli_ci_hi_us,median_jli_ci_hi_us,mean_jli_ci_lo_us,median_jli_ci_lo_us,mean_jli_dissolve_rate,median_jli_dissolve_rate,mean_jli_effective_cost,median_jli_effective_cost,mean_jli_efficiency,median_jli_efficiency,mean_jli_global_rebuild,median_jli_global_rebuild,mean_jli_jitter_us,median_jli_jitter_us,mean_jli_local_rebuild,median_jli_local_rebuild,mean_jli_local_scan,median_jli_local_scan,mean_jli_max_us,median_jli_max_us,mean_jli_mem_bytes,median_jli_mem_bytes,mean_jli_min_us,median_jli_min_us,mean_jli_p50_us,median_jli_p50_us,mean_jli_p95_us,median_jli_p95_us,mean_jli_p99_us,median_jli_p99_us,mean_jli_rebuild_node_touches,median_jli_rebuild_node_touches,mean_jli_rebuild_rate,median_jli_rebuild_rate,mean_jli_stddev_us,median_jli_stddev_us,mean_jli_steps_avg,median_jli_steps_avg,mean_jli_steps_p99,median_jli_steps_p99,mean_jli_sub_rebuild,median_jli_sub_rebuild,mean_jli_sub_scan,median_jli_sub_scan,mean_label,median_label,mean_mem_ratio,median_mem_ratio,mean_param_set,median_param_set,mean_ratio,median_ratio,mean_repetition,median_repetition,mean_repetitions_count,median_repetitions_count,mean_sl_avg_us,median_sl_avg_us,mean_sl_ci_hi_us,median_sl_ci_hi_us,mean_sl_ci_lo_us,median_sl_ci_lo_us,mean_sl_jitter_us,median_sl_jitter_us,mean_sl_max_us,median_sl_max_us,mean_sl_mem_bytes,median_sl_mem_bytes,mean_sl_min_us,median_sl_min_us,mean_sl_p50_us,median_sl_p50_us,mean_sl_p95_us,median_sl_p95_us,mean_sl_p99_us,median_sl_p99_us,mean_sl_stddev_us,median_sl_stddev_us,mean_win_rate,median_win_rate,ratio_ci_low,ratio_ci_high,wilcoxon_p,sign_p
STATIC,random,50000,14285,256,32,6,0.500000,1050,1700,0.212000,0.212000,0.462857,0.291429,0.199000,0.300000,4,0.869430,0.051000,4,52,47.5,47.5,1.0,1.0,0.371922,0.380895,0.392402,0.399495,0.35143800000000003,0.36134,0.0,0.0,471301.97,482670.75,2.1296582e-06,2.072153e-06,0.0,0.0,0.117434,0.11521,0.0,0.0,0.0,0.0,0.49716899999999997,0.501085,1267210.4,1267212.0,0.284342,0.2843,0.369185,0.378325,0.455643,0.449635,0.48662,0.48865,0.0,0.0,0.0,0.0,0.05486,0.054755,13.341,13.165,20.2,20.0,0.0,0.0,0.0,0.0,nan,nan,0.7920191,0.792169,0.0,0.0,0.8688156553473032,0.868691,0.0,0.0,30.0,30.0,0.42834099999999997,0.429555,0.455431,0.453375,0.401252,0.40627,0.167413,0.14022,0.597328,0.5952649999999999,1599977.6,1599608.0,0.321339,0.329115,0.417679,0.41925,0.547734,0.53688,0.585091,0.58041,0.072555,0.07017999999999999,0.8299999,0.833333,0.8533003498242869,0.8843309608703195,0.001953125,0.001953125
STATIC,sequential,100000,28571,256,16,5,0.500000,1050,1700,0.212000,0.212000,0.462857,0.291429,0.199000,0.300000,4,0.869430,0.051000,16,52,47.5,47.5,1.0,1.0,0.082588,0.08174999999999999,0.086722,0.086255,0.078455,0.077515,0.0,0.0,204892.91999999998,202822.05,4.8930566e-06,4.9304495e-06,0.0,0.0,0.026588999999999998,0.027700000000000002,0.0,0.0,0.0,0.0,0.109322,0.110405,2480920.0,2480916.0,0.069677,0.06919,0.080927,0.08060500000000001,0.101979,0.10404,0.107516,0.109045,0.0,0.0,0.0,0.0,0.011074,0.011235,14.813,14.67,23.8,24.0,0.0,0.0,0.0,0.0,nan,nan,0.7755395,0.7758165,0.0,0.0,0.7837781815510019,0.7734540000000001,0.0,0.0,30.0,30.0,0.105559,0.104275,0.111333,0.110555,0.099787,0.09799,0.025606,0.027630000000000002,0.133651,0.13025,3198965.6,3197792.0,0.085011,0.08285000000000001,0.105984,0.10716500000000001,0.126187,0.126255,0.131589,0.12970500000000001,0.015460999999999999,0.01603,0.9633334,0.966667,0.7602835199595617,0.8072728431424421,0.001953125,0.001953125
STATIC,sequential,1000000,285714,256,16,8,0.500000,1050,1700,0.212000,0.212000,0.462857,0.291429,0.199000,0.300000,4,0.869430,0.051000,24,52,47.5,47.5,1.0,1.0,0.100147,0.09941,0.104189,0.10368,0.096103,0.094995,0.0,0.0,2482922.8,2464663.5,4.0364065e-07,4.0583664999999996e-07,0.0,0.0,0.025436,0.028045,0.0,0.0,0.0,0.0,0.126046,0.127395,24793040.8,24792988.0,0.085255,0.08579,0.098755,0.09748,0.11825,0.11723,0.124192,0.12623,0.0,0.0,0.0,0.0,0.010827,0.01125,16.848,16.950000000000003,27.4,27.0,0.0,0.0,0.0,0.0,nan,nan,0.7748943,0.7748809999999999,0.0,0.0,0.8593772183720173,0.8405975,0.0,0.0,30.0,30.0,0.11670900000000001,0.116785,0.12202,0.12157,0.111393,0.11175,0.031685,0.02503,0.148819,0.14243,31995390.4,31995792.0,0.094891,0.09484999999999999,0.114745,0.114695,0.138535,0.138025,0.146433,0.14185999999999999,0.014227,0.01369,0.8300001,0.866667,0.8189653120046494,0.8997891247393852,0.001953125,0.001953125
STATIC,sequential,250000,71428,256,16,6,0.500000,1050,1700,0.212000,0.212000,0.462857,0.291429,0.199000,0.300000,4,0.869430,0.051000,24,52,47.5,47.5,1.0,1.0,0.089066,0.08899,0.093461,0.093405,0.084671,0.08369,0.0,0.0,552090.02,551618.3500000001,1.815205e-06,1.8134124999999999e-06,0.0,0.0,0.025342,0.021875,0.0,0.0,0.0,0.0,0.115495,0.110125,6198599.2,6198600.0,0.073232,0.073115,0.088061,0.086115,0.107171,0.10604,0.113403,0.10962,0.0,0.0,0.0,0.0,0.011771,0.011325,15.44,15.21,24.7,24.5,0.0,0.0,0.0,0.0,nan,nan,0.7750127,0.7751545,0.0,0.0,0.8126879103196891,0.805663,0.0,0.0,30.0,30.0,0.109739,0.10994,0.116052,0.11604,0.103425,0.10292000000000001,0.033007,0.031265,0.144402,0.144395,7998068.8,7996572.0,0.087348,0.087655,0.108338,0.108175,0.13235,0.132155,0.141346,0.141315,0.01691,0.016345,0.89,0.866667,0.7780639472017917,0.8473118734375865,0.001953125,0.001953125
STATIC,sequential,500000,142857,256,12,7,0.500000,1050,1700,0.212000,0.212000,0.462857,0.291429,0.199000,0.300000,4,0.869430,0.051000,16,52,47.5,47.5,1.0,1.0,0.102185,0.102495,0.106979,0.106755,0.097389,0.09816,0.0,0.0,1260562.5,1264371.0,7.9564732e-07,7.909432e-07,0.0,0.0,0.029346,0.023434999999999997,0.0,0.0,0.0,0.0,0.132424,0.12850499999999998,12336372.8,12336348.0,0.085495,0.08561,0.100595,0.10192999999999999,0.122326,0.12245500000000001,0.12994,0.127725,0.0,0.0,0.0,0.0,0.012845,0.012115,20.246,20.055,40.8,41.0,0.0,0.0,0.0,0.0,nan,nan,0.7712157,0.771251,0.0,0.0,0.8907474526131279,0.8619885,0.0,0.0,30.0,30.0,0.114782,0.11488999999999999,0.120745,0.12073500000000001,0.10882,0.108565,0.027415000000000002,0.025475,0.145615,0.14327,15996012.0,15995252.0,0.090696,0.090725,0.116021,0.11410000000000001,0.136888,0.136745,0.143435,0.14153,0.015974,0.015495000000000002,0.7833333,0.8,0.852900917580485,0.9285939876457708,0.001953125,0.001953125
STATIC,sequential,50000,14285,256,16,4,0.500000,1050,1700,0.212000,0.212000,0.462857,0.291429,0.199000,0.300000,4,0.869430,0.051000,24,52,47.5,47.5,1.0,1.0,0.075363,0.07479,0.07938100000000001,0.07962,0.071345,0.07108,0.0,0.0,93495.825,92783.85,1.07281661e-05,1.0778095e-05,0.0,0.0,0.030395000000000002,0.02402,0.0,0.0,0.0,0.0,0.108044,0.09875,1240589.6,1240596.0,0.064041,0.06359000000000001,0.073327,0.07236999999999999,0.091404,0.08945,0.103723,0.09842000000000001,0.0,0.0,0.0,0.0,0.01076,0.01009,13.889,13.95,21.9,22.0,0.0,0.0,0.0,0.0,nan,nan,0.7753809,0.77554,0.0,0.0,0.758087466719997,0.7351019999999999,0.0,0.0,30.0,30.0,0.099748,0.098935,0.106237,0.1057,0.09326,0.09217,0.038109,0.03027,0.142366,0.12812,1599977.6,1599608.0,0.07851,0.07849,0.099314,0.09831999999999999,0.122851,0.121635,0.137426,0.127015,0.017381,0.016565,0.9633335000000001,0.966667,0.7263107120735017,0.7898642213664924,0.001953125,0.001953125
STATIC,zipfian,100000,28571,256,32,5,0.500000,1050,1700,0.212000,0.212000,0.462857,0.291429,0.199000,0.300000,4,0.869430,0.051000,16,52,47.5,47.5,1.0,1.0,0.246224,0.2459,0.255359,0.25599,0.237088,0.23587,0.0,0.0,623184.57,622356.5,1.6055066e-06,1.6068345e-06,0.0,0.0,0.058901,0.052635,0.0,0.0,0.0,0.0,0.308466,0.30467500000000003,2530968.0,2530964.0,0.202238,0.20402,0.243384,0.243195,0.284202,0.285935,0.302286,0.298905,0.0,0.0,0.0,0.0,0.02447,0.02353,10.303,10.26,17.5,17.0,0.0,0.0,0.0,0.0,nan,nan,0.7911846,0.7914675,0.0,0.0,0.8370017753872215,0.825334,0.0,0.0,30.0,30.0,0.294356,0.29391,0.308233,0.307735,0.280481,0.28009,0.075766,0.059765,0.377271,0.36962,3198965.6,3197792.0,0.234385,0.23398,0.29387399999999997,0.29249,0.346768,0.34357000000000004,0.36963999999999997,0.36307500000000004,0.037166,0.0358,0.9066667,0.9,0.8181396874627669,0.8558638633116762,0.001953125,0.001953125
STATIC,zipfian,1000000,285714,256,24,8,0.500000,1050,1700,0.212000,0.212000,0.462857,0.291429,0.199000,0.300000,4,0.869430,0.051000,16,52,47.5,47.5,1.0,1.0,0.516578,0.514195,0.528375,0.52536,0.504781,0.5016050000000001,0.0,0.0,12938896.0,12879255.0,7.7343045e-08,7.7644845e-08,0.0,0.0,0.071679,0.06253,0.0,0.0,0.0,0.0,0.59234,0.5819300000000001,25047397.6,25047336.0,0.453963,0.449535,0.514845,0.50943,0.568515,0.5585450000000001,0.586523,0.5759350000000001,0.0,0.0,0.0,0.0,0.031598,0.03175,12.201,12.225000000000001,26.3,26.0,0.0,0.0,0.0,0.0,nan,nan,0.782844,0.7828295000000001,0.0,0.0,0.8950313371848942,0.8946510000000001,0.0,0.0,30.0,30.0,0.577165,0.57762,0.591485,0.593085,0.562844,0.56215,0.088894,0.09258,0.6706799999999999,0.6793549999999999,31995390.4,31995792.0,0.502722,0.5025850000000001,0.5748219999999999,0.57306,0.639448,0.6410750000000001,0.663715,0.67357,0.038356,0.041435,0.9,0.8999999999999999,0.8834399664287029,0.9066227079410856,0.001953125,0.001953125
STATIC,zipfian,250000,71428,256,32,6,0.500000,1050,1700,0.212000,0.212000,0.462857,0.291429,0.199000,0.300000,4,0.869430,0.051000,16,52,47.5,47.5,1.0,1.0,0.320357,0.31318,0.333857,0.32514,0.306856,0.30122499999999997,0.0,0.0,2026172.5,1980787.0,4.9479862e-07,5.048601e-07,0.0,0.0,0.097994,0.06978999999999999,0.0,0.0,0.0,0.0,0.428179,0.38169,6324744.8,6324736.0,0.265924,0.262035,0.316213,0.30918,0.373724,0.36774,0.414205,0.380895,0.0,0.0,0.0,0.0,0.036156,0.02815,10.63,10.59,18.9,19.0,0.0,0.0,0.0,0.0,nan,nan,0.7907846000000001,0.790926,0.0,0.0,0.8068759519005054,0.799972,0.0,0.0,30.0,30.0,0.397127,0.39297000000000004,0.414363,0.41037,0.379892,0.37557,0.100408,0.107915,0.505331,0.503625,7998068.8,7996572.0,0.317629,0.31250500000000003,0.395312,0.38925,0.464472,0.455275,0.495722,0.49861,0.046164,0.04575,0.9766667,0.9833335000000001,0.7913324365338327,0.8224194672671782,0.001953125,0.001953125
STATIC,zipfian,500000,142857,256,32,7,0.500000,1050,1700,0.212000,0.212000,0.462857,0.291429,0.199000,0.300000,4,0.869430,0.051000,16,52,47.5,47.5,1.0,1.0,0.407551,0.40242,0.41935300000000003,0.41596,0.395748,0.391245,0.0,0.0,5155112.2,5090137.0,1.9416079e-07,1.9645889999999998e-07,0.0,0.0,0.070135,0.058135000000000006,0.0,0.0,0.0,0.0,0.484934,0.47501,12649012.8,12648988.0,0.352345,0.34919,0.40762,0.403775,0.456025,0.46104,0.477752,0.47145000000000004,0.0,0.0,0.0,0.0,0.031612,0.0305,10.865,10.855,19.9,20.0,0.0,0.0,0.0,0.0,nan,nan,0.7907605,0.7907964999999999,0.0,0.0,0.8106432141142579,0.8098645,0.0,0.0,30.0,30.0,0.503197,0.503455,0.519067,0.519825,0.48733,0.487085,0.083643,0.08338,0.590545,0.59675,15996012.0,15995252.0,0.419694,0.42325999999999997,0.502203,0.499745,0.569775,0.57098,0.585845,0.59116,0.042499999999999996,0.039995,0.9766667,1.0,0.7905450047221707,0.8307414235063451,0.001953125,0.001953125
STATIC,zipfian,50000,14285,256,32,4,0.500000,1050,1700,0.212000,0.212000,0.462857,0.291429,0.199000,0.300000,4,0.869430,0.051000,16,52,47.5,47.5,1.0,1.0,0.20488,0.20477,0.216417,0.213115,0.193344,0.19404,0.0,0.0,259334.83,259189.65,3.8849289e-06,3.858186e-06,0.0,0.0,0.087224,0.046689999999999995,0.0,0.0,0.0,0.0,0.303969,0.25266500000000003,1265788.0,1265796.0,0.164744,0.16183999999999998,0.20195,0.20194499999999999,0.244896,0.240975,0.289175,0.24817,0.0,0.0,0.0,0.0,0.030900999999999998,0.0235,10.153,10.125,16.8,17.0,0.0,0.0,0.0,0.0,nan,nan,0.7911301,0.791289,0.0,0.0,0.8356829687048608,0.8179675,0.0,0.0,30.0,30.0,0.245483,0.252645,0.259136,0.26307,0.231831,0.239315,0.076477,0.061245,0.329028,0.302865,1599977.6,1599608.0,0.187331,0.194145,0.246967,0.255385,0.302107,0.296665,0.323448,0.300825,0.036568,0.038565,0.9233333,0.933333,0.8049442478395215,0.8664216895702002,0.001953125,0.001953125
