section,pattern,n,nops,segment_size,shortcuts_per_junction,max_skip_level,level_probability,local_interval,sub_interval,t_j,soft_pct,hard_pct,flagged_ratio_limit,min_seg_len_pct,max_suboptimal_segments,min_suboptimal_events_before_global,emergency_hard_segment_ratio,stop_crash_local_sub,block_size,seed,mean_base_seed,median_base_seed,mean_eval_id,median_eval_id,mean_jli_avg_us,median_jli_avg_us,mean_jli_ci_hi_us,median_jli_ci_hi_us,mean_jli_ci_lo_us,median_jli_ci_lo_us,mean_jli_dissolve_rate,median_jli_dissolve_rate,mean_jli_effective_cost,median_jli_effective_cost,mean_jli_efficiency,median_jli_efficiency,mean_jli_global_rebuild,median_jli_global_rebuild,mean_jli_jitter_us,median_jli_jitter_us,mean_jli_local_rebuild,median_jli_local_rebuild,mean_jli_local_scan,median_jli_local_scan,mean_jli_max_us,median_jli_max_us,mean_jli_mem_bytes,median_jli_mem_bytes,mean_jli_min_us,median_jli_min_us,mean_jli_p50_us,median_jli_p50_us,mean_jli_p95_us,median_jli_p95_us,mean_jli_p99_us,median_jli_p99_us,mean_jli_rebuild_node_touches,median_jli_rebuild_node_touches,mean_jli_rebuild_rate,median_jli_rebuild_rate,mean_jli_stddev_us,median_jli_stddev_us,mean_jli_steps_avg,median_jli_steps_avg,mean_jli_steps_p99,median_jli_steps_p99,mean_jli_sub_rebuild,median_jli_sub_rebuild,mean_jli_sub_scan,median_jli_sub_scan,mean_label,median_label,mean_mem_ratio,median_mem_ratio,mean_param_set,median_param_set,mean_ratio,median_ratio,mean_repetition,median_repetition,mean_repetitions_count,median_repetitions_count,mean_sl_avg_us,median_sl_avg_us,mean_sl_ci_hi_us,median_sl_ci_hi_us,mean_sl_ci_lo_us,median_sl_ci_lo_us,mean_sl_jitter_us,median_sl_jitter_us,mean_sl_max_us,median_sl_max_us,mean_sl_mem_bytes,median_sl_mem_bytes,mean_sl_min_us,median_sl_min_us,mean_sl_p50_us,median_sl_p50_us,mean_sl_p95_us,median_sl_p95_us,mean_sl_p99_us,median_sl_p99_us,mean_sl_stddev_us,median_sl_stddev_us,mean_win_rate,median_win_rate,ratio_ci_low,ratio_ci_high,wilcoxon_p,sign_p
INSERT,adversarial,50000,2000000,8192,24,1,0.500000,2500000,2600000,0.318602,0.178539,0.459105,0.327735,0.143966,0.501797,5,0.864102,0.061065,8,52,47.5,47.5,1.0,1.0,0.147227,0.14387,0.161515,0.16053499999999998,0.132942,0.132585,0.0,0.0,227576.26,222388.7,4.4022771e-06,4.4967000000000005e-06,0.0,0.0,0.10886,0.09384,30.0,30.0,540.0,540.0,0.264425,0.24024,1545736.0,1545736.0,0.106552,0.10583999999999999,0.141476,0.14145000000000002,0.205646,0.199005,0.250336,0.23651499999999998,971700.0,971700.0,0.00035,0.00035,0.038264,0.03751,1.0,1.0,1.0,1.0,120.0,120.0,420.0,420.0,nan,nan,0.7508395999999999,0.751266,0.0,0.0,0.8514995925966697,0.8524339999999999,0.0,0.0,30.0,30.0,0.17331,0.173065,0.186666,0.18385,0.159952,0.16097,0.106342,0.06648,0.291781,0.24132,2058680.8,2057508.0,0.135756,0.13502999999999998,0.167269,0.170815,0.223476,0.21614,0.27361,0.237665,0.035773,0.027635,0.83,0.833333,0.8090737514513597,0.8939254337419797,0.001953125,0.001953125
INSERT,hotspot,50000,2000000,256,32,4,0.500000,2500000,2600000,0.139407,0.268887,0.560038,0.304008,0.153014,0.546747,4,0.969262,0.056850,24,52,47.5,47.5,1.0,1.0,0.400213,0.40095000000000003,0.423109,0.426535,0.377317,0.376,0.0,0.0,596115.5,597595.6499999999,1.6782736e-06,1.6733845e-06,0.0,0.0,0.135032,0.136605,3.2,3.0,180.0,180.0,0.533581,0.5391699999999999,1489495.2,1489356.0,0.312084,0.31120499999999995,0.39215,0.387065,0.503995,0.507395,0.527181,0.53359,246388.2,246455.0,0.000221,0.000222,0.061322,0.06309999999999999,13.3,13.315000000000001,21.807,21.81,91.5,92.0,120.0,120.0,nan,nan,0.786316,0.786705,0.0,0.0,0.9515310314633,0.9491225,0.0,0.0,30.0,30.0,0.421115,0.42035500000000003,0.445687,0.44286499999999995,0.396544,0.396425,0.171963,0.159025,0.605146,0.592605,1894273.6,1893936.0,0.325065,0.32796000000000003,0.414871,0.410845,0.5274800000000001,0.525725,0.5868329999999999,0.56919,0.065811,0.061135,0.5966667,0.566667,0.9223122230394218,0.9807498398871781,0.001953125,0.001953125
INSERT,random,50000,2000000,256,32,5,0.500000,2500000,2600000,0.143873,0.275017,0.468214,0.252574,0.145391,0.663793,2,0.840693,0.053623,12,52,47.5,47.5,1.0,1.0,0.495025,0.48905,0.529983,0.51717,0.460065,0.460665,0.0,0.0,787424.58,777054.3,1.2736441e-06,1.287347e-06,0.0,0.0,0.259412,0.22909000000000002,0.0,0.0,420.0,420.0,0.776887,0.73566,1590763.2,1595984.0,0.370033,0.36994000000000005,0.48543600000000003,0.48435,0.648802,0.6310549999999999,0.744846,0.716755,339489.4,325299.5,0.00056,0.00056,0.09363099999999999,0.08613,12.708,12.71,20.602,20.615000000000002,240.0,240.0,240.0,240.0,nan,nan,0.7864617,0.7884455,0.0,0.0,0.9105021789619983,0.9263985,0.0,0.0,30.0,30.0,0.544503,0.5301750000000001,0.579066,0.557445,0.509938,0.501325,0.248233,0.20256000000000002,0.786028,0.744345,2022687.2,2022084.0,0.421412,0.41951,0.5247459999999999,0.518285,0.717279,0.6782900000000001,0.77298,0.721435,0.092573,0.084085,0.7133333000000001,0.733333,0.8819711762177297,0.9390331817062668,0.001953125,0.001953125
INSERT,sequential,50000,2000000,512,20,3,0.500000,2500000,2600000,0.333473,0.254385,0.374128,0.295578,0.249266,0.103974,6,0.968238,0.080881,16,52,47.5,47.5,1.0,1.0,0.21920800000000001,0.21949000000000002,0.229492,0.230625,0.208924,0.2091,0.0,0.0,344728.42,345167.5,2.904022e-06,2.897175e-06,0.0,0.0,0.067002,0.061465000000000006,0.0,0.0,360.0,360.0,0.285805,0.28664999999999996,1572611.2,1572612.0,0.183782,0.184035,0.215176,0.21749000000000002,0.266627,0.26902499999999996,0.282181,0.28464500000000004,755040.0,755040.0,0.00077,0.00077,0.027546,0.028,32.231,32.224999999999994,69.0,69.0,330.0,330.0,330.0,330.0,nan,nan,0.7638942,0.76434,0.0,0.0,1.048185541730037,1.061208,0.0,0.0,30.0,30.0,0.209306,0.210395,0.221437,0.221785,0.197179,0.197415,0.080322,0.063905,0.292351,0.275145,2058680.8,2057508.0,0.170643,0.17031,0.202822,0.20254,0.256606,0.25626499999999997,0.283144,0.271565,0.032485,0.030785,0.34,0.35,1.0107388213560435,1.0856322621040304,0.009765625,0.021484375
INSERT,zipfian,50000,2000000,256,24,6,0.500000,2500000,2600000,0.399697,0.290827,0.331190,0.291272,0.214448,0.552983,5,0.854589,0.063454,4,52,47.5,47.5,1.0,1.0,0.35012899999999997,0.345535,0.370286,0.36651,0.329971,0.32699,0.0,0.0,489861.68,482978.25,2.0438481e-06,2.0704925000000002e-06,0.0,0.0,0.130041,0.115045,0.4,0.0,240.0,240.0,0.47787999999999997,0.461065,1399088.0,1399104.0,0.269788,0.27049999999999996,0.339966,0.34458,0.441563,0.441695,0.470007,0.456575,171557.7,171524.0,0.000211,0.00021,0.053988,0.053355,12.297,12.3,27.221,27.22,90.0,90.0,90.0,90.0,nan,nan,0.7812284,0.781545,0.0,0.0,1.1123360305513308,1.1116890000000001,0.0,0.0,30.0,30.0,0.314863,0.31445,0.332989,0.33411,0.296738,0.29479,0.134911,0.13537,0.458303,0.445685,1790885.6,1791048.0,0.24565,0.24451499999999998,0.305757,0.30367,0.390889,0.385345,0.440668,0.436465,0.048548,0.048600000000000004,0.2733331,0.3,1.09043157546768,1.1342404856349815,0.001953125,0.001953125
