run,discarded,section,pattern,n,nops,param_set,label,segment_size,shortcuts_per_junction,max_skip_level,level_probability,local_interval,sub_interval,t_j,soft_pct,hard_pct,flagged_ratio_limit,min_seg_len_pct,max_suboptimal_segments,min_suboptimal_events_before_global,emergency_hard_segment_ratio,stop_crash_local_sub,block_size,jli_avg_us,jli_min_us,jli_max_us,jli_p50_us,jli_p95_us,jli_p99_us,jli_stddev_us,jli_jitter_us,jli_ci_lo_us,jli_ci_hi_us,sl_avg_us,sl_min_us,sl_max_us,sl_p50_us,sl_p95_us,sl_p99_us,sl_stddev_us,sl_jitter_us,sl_ci_lo_us,sl_ci_hi_us,ratio,win_rate,jli_mem_bytes,sl_mem_bytes,jli_steps_avg,jli_steps_p99,jli_dissolve_rate,jli_rebuild_rate,jli_local_scan,jli_sub_scan,jli_local_rebuild,jli_sub_rebuild,jli_global_rebuild,jli_rebuild_node_touches,jli_effective_cost,jli_efficiency,mem_ratio,repetition,seed,base_seed,repetitions_count,eval_id
2,False,STATIC,random,500000,142857,0,256-32-9-0.50,256,32,9,0.500000,1050,1700,0.212000,0.212000,0.462857,0.291429,0.199000,0.300000,4,0.869430,0.051000,5,0.50474,0.49276,0.54209,0.50215,0.52524,0.53756,0.01016,0.03540,0.50095,0.50854,0.49247,0.47784,0.53978,0.48766,0.52324,0.53579,0.01437,0.04814,0.48710,0.49783,1.029732,0.166667,12660432,16001336,14.82,25.00,0.000000,0.000000,0,0,0,0,0,0,6.390263e+06,1.564881e-07,0.791211,0,44,44,30,1
3,False,STATIC,random,500000,142857,0,256-32-9-0.50,256,32,9,0.500000,1050,1700,0.212000,0.212000,0.462857,0.291429,0.199000,0.300000,4,0.869430,0.051000,5,0.49651,0.48690,0.51810,0.49393,0.51213,0.51646,0.00787,0.02252,0.49358,0.49945,0.50642,0.49297,0.55609,0.50445,0.52862,0.55100,0.01270,0.04655,0.50168,0.51116,0.979155,0.800000,12659840,15991384,16.26,28.00,0.000000,0.000000,0,0,0,0,0,0,6.285772e+06,1.590894e-07,0.791666,0,45,45,30,1
4,False,STATIC,random,500000,142857,0,256-32-9-0.50,256,32,9,0.500000,1050,1700,0.212000,0.212000,0.462857,0.291429,0.199000,0.300000,4,0.869430,0.051000,5,0.52305,0.51124,0.56340,0.51931,0.54576,0.55904,0.01193,0.03973,0.51860,0.52751,0.49810,0.47944,0.57700,0.49148,0.52527,0.56337,0.01827,0.07189,0.49128,0.50492,1.056637,0.100000,12660240,15995752,15.58,23.00,0.000000,0.000000,0,0,0,0,0,0,6.621993e+06,1.510119e-07,0.791475,0,46,46,30,1
5,False,STATIC,random,500000,142857,0,256-32-9-0.50,256,32,9,0.500000,1050,1700,0.212000,0.212000,0.462857,0.291429,0.199000,0.300000,4,0.869430,0.051000,5,0.49003,0.47745,0.51423,0.48829,0.49971,0.51004,0.00670,0.02175,0.48753,0.49254,0.49857,0.48443,0.53081,0.49835,0.51459,0.52657,0.00981,0.02822,0.49491,0.50224,0.979825,0.800000,12659792,15997592,15.90,27.00,0.000000,0.000000,0,0,0,0,0,0,6.203729e+06,1.611934e-07,0.791356,0,47,47,30,1
6,False,STATIC,random,500000,142857,0,256-32-9-0.50,256,32,9,0.500000,1050,1700,0.212000,0.212000,0.462857,0.291429,0.199000,0.300000,4,0.869430,0.051000,5,0.49437,0.47851,0.53684,0.49231,0.50790,0.52967,0.01021,0.03737,0.49056,0.49818,0.49571,0.47773,0.54183,0.49205,0.51971,0.53650,0.01281,0.04444,0.49093,0.50050,1.000514,0.533333,12659992,16014144,15.40,24.00,0.000000,0.000000,0,0,0,0,0,0,6.258684e+06,1.597780e-07,0.790551,0,48,48,30,1
7,False,STATIC,random,500000,142857,0,256-32-9-0.50,256,32,9,0.500000,1050,1700,0.212000,0.212000,0.462857,0.291429,0.199000,0.300000,4,0.869430,0.051000,5,0.51019,0.49940,0.54102,0.50906,0.52353,0.53691,0.00876,0.02785,0.50692,0.51346,0.50014,0.47970,0.63282,0.49324,0.53646,0.60629,0.02830,0.11305,0.48958,0.51071,1.032079,0.133333,12659976,15984632,17.29,29.00,0.000000,0.000000,0,0,0,0,0,0,6.459024e+06,1.548222e-07,0.792009,0,49,49,30,1
8,False,STATIC,random,500000,142857,0,256-32-9-0.50,256,32,9,0.500000,1050,1700,0.212000,0.212000,0.462857,0.291429,0.199000,0.300000,4,0.869430,0.051000,5,0.57257,0.49389,0.68209,0.57855,0.65108,0.67456,0.05670,0.09601,0.55140,0.59374,0.57812,0.48751,0.77416,0.54605,0.74321,0.76912,0.08583,0.22307,0.54608,0.61017,1.059518,0.500000,12659816,15987064,15.46,25.00,0.000000,0.000000,0,0,0,0,0,0,7.248640e+06,1.379569e-07,0.791879,0,50,50,30,1
9,False,STATIC,random,500000,142857,0,256-32-9-0.50,256,32,9,0.500000,1050,1700,0.212000,0.212000,0.462857,0.291429,0.199000,0.300000,4,0.869430,0.051000,5,0.51377,0.49002,0.60851,0.50378,0.57693,0.60406,0.02779,0.10027,0.50340,0.52415,0.53194,0.51293,0.63256,0.52617,0.55720,0.61249,0.02216,0.08632,0.52367,0.54022,0.957456,0.900000,12660088,15998920,15.19,25.00,0.000000,0.000000,0,0,0,0,0,0,6.504418e+06,1.537417e-07,0.791309,0,51,51,30,1
1,False,STATIC,random,50000,14285,0,256-32-6-0.50,256,32,6,0.500000,1050,1700,0.212000,0.212000,0.462857,0.291429,0.199000,0.300000,4,0.869430,0.051000,4,0.19926,0.16465,0.32788,0.19340,0.25658,0.30797,0.03535,0.11457,0.18606,0.21246,0.23875,0.18276,0.33913,0.21823,0.32328,0.33594,0.04980,0.11771,0.22015,0.25734,0.886221,0.800000,1267192,1602968,13.09,20.00,0.000000,0.000000,0,0,0,0,0,0,2.525061e+05,3.960301e-06,0.790529,0,43,43,30,1
10,False,STATIC,random,50000,14285,0,256-32-6-0.50,256,32,6,0.500000,1050,1700,0.212000,0.212000,0.462857,0.291429,0.199000,0.300000,4,0.869430,0.051000,4,0.21160,0.16571,0.35972,0.20046,0.31340,0.35609,0.04674,0.15563,0.19415,0.22905,0.24717,0.18264,0.41510,0.22906,0.37497,0.40745,0.06114,0.17839,0.22434,0.26999,0.875126,0.900000,1267232,1597152,13.82,23.00,0.000000,0.000000,0,0,0,0,0,0,2.681428e+05,3.729356e-06,0.793432,0,52,52,30,1
